Rf_i;Rf_j;Lbl_p;Lbl_q;Wordnet wup equivalence indicator;Equivalence estimate
Rf02;Rf11;System;Entity;0,25;Low
Rf02;Rf03;System;Platform;0,666666667;Moderate
Rf02;Rf03;System;Payload;0,266666667;Low
Rf02;Rf03;System;Software;0,133333333;Low
Rf02;Rf08;System;Activity;0,153846154;Low
Rf02;Rf07;Component;Mission;0,25;Low
Rf02;Rf07;Component;Event;0,461538462;Low
Rf02;Rf07;Component;Condition;0,285714286;Low
Rf02;Rf07;Component;Task;0,352941176;Low
Rf02;Rf07;Component;CS;0,235294118;Low
Rf02;Rf07;Component;Emergent;0,166666667;Low
Rf02;Rf13;Component;Resource;0,266666667;Low
Rf02;Rf13;Component;Capability;0,266666667;Low
Rf02;Rf05;Component;Environment;0,266666667;Low
Rf02;Rf05;Component;Actor;0,125;Low
Rf02;Rf05;Component;Communication;0,4;Low
Rf02;Rf06;Component;Operation;0,266666667;Low
Rf02;Rf06;Component;Asset;0,285714286;Low
Rf02;Rf09;Component;SoS;0,266666667;Low
Rf02;Rf09;Component;Constellation;0,470588235;Low
Rf02;Rf12;Component;Executor;0,133333333;Low
Rf02;Rf12;Component;Connectivity;0,285714286;Low
Rf02;Rf12;Component;Cooperation;0,4;Low
Rf02;Rf11;Component;Role;0,333333333;Low
Rf02;Rf11;Component;Metric;0,266666667;Low
Rf02;Rf11;Component;Entity;0,2;Low
Rf02;Rf03;Component;Platform;0,117647059;Low
Rf02;Rf03;Component;Payload;0,222222222;Low
Rf02;Rf03;Component;Software;0,235294118;Low
Rf02;Rf08;Component;Activity;0,4;Low
Rf02;Rf07;Capability;Event;0,4;Low
Rf02;Rf07;Capability;Condition;0,545454545;Moderate
Rf02;Rf07;Capability;CS;0,285714286;Low
Rf02;Rf07;Capability;Emergent;0,222222222;Low
Rf02;Rf13;Capability;Resource;0,333333333;Low
Rf02;Rf05;Capability;Environment;0,5;Moderate
Rf02;Rf05;Capability;Actor;0,153846154;Low
Rf02;Rf05;Capability;Communication;0,333333333;Low
Rf02;Rf09;Capability;SoS;0,333333333;Low
Rf02;Rf09;Capability;Constellation;0,285714286;Low
Rf02;Rf12;Capability;Executor;0,166666667;Low
Rf02;Rf12;Capability;Connectivity;0,545454545;Moderate
Rf02;Rf12;Capability;Cooperation;0,333333333;Low
Rf02;Rf11;Capability;Role;0,266666667;Low
Rf02;Rf11;Capability;Metric;0,333333333;Low
Rf02;Rf11;Capability;Entity;0,285714286;Low
Rf02;Rf03;Capability;Payload;0,266666667;Low
Rf02;Rf03;Capability;Software;0,285714286;Low
Rf02;Rf08;Capability;Activity;0,333333333;Low
Rf07;Rf13;Event;Resource;0,4;Low
Rf07;Rf05;Event;Environment;0,4;Low
Rf07;Rf05;Event;Actor;0,181818182;Low
Rf07;Rf05;Event;Communication;0,8;High
Rf07;Rf09;Event;SoS;0,4;Low
Rf07;Rf09;Event;Constellation;0,5;Moderate
Rf07;Rf09;Event;CS;0,333333333;Low
Rf07;Rf12;Event;Executor;0,2;Low
Rf07;Rf12;Event;Emergent;0,285714286;Low
Rf07;Rf12;Event;Connectivity;0,444444444;Low
Rf07;Rf12;Event;Cooperation;0,8;High
Rf07;Rf11;Event;Role;0,615384615;Moderate
Rf07;Rf11;Event;Metric;0,4;Low
Rf07;Rf11;Event;Entity;0,4;Low
Rf07;Rf03;Event;Payload;0,307692308;Low
Rf07;Rf03;Event;Software;0,333333333;Low
Rf07;Rf08;Event;Activity;0,8;High
Rf07;Rf10;Event;Condition;0,444444444;Low
Rf07;Rf13;Condition;Resource;0,363636364;Low
Rf07;Rf05;Condition;Environment;0,727272727;High
Rf07;Rf05;Condition;Actor;0,166666667;Low
